id,vader_compound_new,vader_pos_new,vader_neg_new,vader_neu_new,finbert_bull_new,finbert_bear_new,finbert_neu_new,finbert_dir_new,hybrid_sentiment_new
6fr2lx,0.998,0.137,0.083,0.78,0.030214898,0.12830433,0.84148073,-0.098089434,0.4499552828967571
6ft0j1,0.0,0.0,0.0,1.0,0.2076528,0.0112685645,0.78107864,0.19638424,0.09819211810827255
6fu2wn,0.0772,0.106,0.0,0.894,0.04742583,0.017519817,0.9350543,0.029906012,0.05355300605893135
6fvp21,-0.2732,0.0,0.1,0.9,0.1770156,0.064509645,0.75847477,0.11250596,-0.08034702125787735
6fz8f2,0.9154,0.099,0.086,0.816,0.22287358,0.10497347,0.6721529,0.11790011,0.5166500553905964
6g074c,-0.4486,0.052,0.073,0.875,0.33577314,0.04017847,0.62404835,0.29559466,-0.07650266878604889
6g6oq4,0.7003,0.234,0.0,0.766,0.22584286,0.010240593,0.7639165,0.21560226,0.45795113190412523
6gaq8y,0.9782,0.124,0.0,0.876,0.23103969,0.008758823,0.76020145,0.22228086,0.6002404299736023
6gdt6n,0.9559,0.092,0.0,0.908,0.017850924,0.03952445,0.9426246,-0.021673527,0.4671132366925478
6gfucz,0.0,0.0,0.0,1.0,0.09671137,0.010846972,0.89244163,0.085864395,0.04293219745159149
6gfugt,0.0,0.0,0.0,1.0,0.123753764,0.026987718,0.84925854,0.09676605,0.04838302358984947
6gi51j,0.0,0.0,0.0,1.0,0.04570948,0.02891912,0.92537147,0.01679036,0.008395180106163025
6gi6mm,0.6553,0.111,0.0,0.889,0.022809444,0.17510265,0.8020879,-0.1522932,0.25150339736938476
6gkd6v,0.7351,0.408,0.0,0.592,0.095279,0.01531927,0.8894018,0.07995973,0.40752986391186713
6gqgy1,0.9559,0.092,0.0,0.908,0.017831737,0.039469074,0.94269913,-0.021637337,0.46713133135885
6gre2a,0.0,0.0,0.0,1.0,0.17557804,0.017263366,0.8071586,0.15831468,0.07915733754634857
6gs6pp,-0.0711,0.078,0.061,0.861,0.040659722,0.08267313,0.87666714,-0.04201341,-0.05655670523941517
6gsc25,0.9729,0.113,0.062,0.826,0.14981547,0.016853696,0.8333309,0.13296178,0.55293088991642
6gusu9,-0.6478,0.065,0.089,0.847,0.018499976,0.584822,0.39667803,-0.566322,-0.6070610143184663
6gv7vu,0.9953,0.147,0.05,0.804,0.31238374,0.13888685,0.54872936,0.17349689,0.5843984435439109
6gy250,0.9559,0.092,0.0,0.908,0.01783867,0.03950359,0.94265777,-0.02166492,0.4671175403341651
6gz80c,0.5473,0.261,0.0,0.739,0.24018167,0.047609325,0.71220905,0.19257234,0.3699361701846123
6gzab6,0.4215,0.219,0.0,0.781,0.24018167,0.047609325,0.71220905,0.19257234,0.30703617018461227
6h02j9,0.8277,0.098,0.069,0.833,0.026818123,0.54384387,0.42933804,-0.51702577,0.15533711562156677
6h4ak6,0.3612,0.333,0.0,0.667,0.2111563,0.012828729,0.776015,0.19832757,0.27976378557682036
6h5oqz,0.9627,0.099,0.012,0.889,0.017837921,0.0394963,0.9426658,-0.021658378,0.47052081113904715
6h77k4,0.9981,0.164,0.012,0.824,0.14437951,0.009790318,0.8458302,0.1345892,0.5663445976257324
6h7awt,0.7508,0.08,0.055,0.865,0.06358673,0.04524133,0.891172,0.018345397,0.38457269848287107
6h8okn,0.0,0.0,0.0,1.0,0.052976772,0.033713397,0.9133099,0.019263376,0.00963168777525425
6ha4pa,-0.6344,0.0,0.275,0.725,0.019008689,0.5571056,0.42388564,-0.5380969,-0.5862484523773193
6hbarg,0.0,0.0,0.0,1.0,0.123573065,0.008289895,0.86813706,0.11528317,0.05764158442616463
6hbhnp,-0.9913,0.066,0.126,0.808,0.029607004,0.065329306,0.9050637,-0.0357223,-0.5135111502051353
6hd8r3,0.9627,0.099,0.012,0.889,0.017821178,0.039594907,0.942584,-0.02177373,0.4704631352633238
6hdrcj,-0.6956,0.042,0.08,0.878,0.011273003,0.96780324,0.020923752,-0.9565302,-0.826065106678009
6hemvx,0.0,0.0,0.0,1.0,0.09259135,0.02084156,0.88656706,0.07174979,0.03587489575147629
6hgyno,-0.5267,0.0,0.327,0.673,0.027635962,0.18716829,0.7851957,-0.15953232,-0.3431161617398262
